census_id,municipality,state,rank,url,description
174540,TOWNSHIP OF SALISBURY,PA,1,https://salisburylehighpa.gov/wp-content/uploads/2014/08/RTKRequestForm.pdf,"Direct Salisbury Township Right-to-Know (RTK) / Open Records request form. This is the most useful because it is the township's own form, tailored for requesting local records (planning/zoning), and will be processed directly by the township records officer. Use this to specify historical zoning ordinances, date ranges, file formats, and any known ordinance numbers for fastest handling."
174540,TOWNSHIP OF SALISBURY,PA,2,https://www.openrecords.pa.gov/RTKL/RequestForm.cfm,"Pennsylvania Office of Open Records (state) online RTK request form. A good alternative if you prefer a state-hosted portal or need guidance; it lists municipalities (including Salisbury Township) and links to the standard downloadable RTK forms. Useful if you want to ensure correct RTK procedure or escalate a denial, but less direct than submitting the township's own form."
209939,CITY OF SHERIDAN,WY,1,https://cityofsheridanwy.nextrequest.com/requests/new,"Direct NextRequest public records portal for submitting new records requests. Easy online submission, includes guidance and links for police-specific requests and public records policy — best for requesting historical zoning ordinances and archives."
209939,CITY OF SHERIDAN,WY,2,https://app.box.com/embed/s/00nco756l96updzrzf93n326tv05uaac?sortColumn=name&showParentPath=false&expandSidebars=true,Embedded Box document repository that lets you search/access already-published public records (useful for finding posted historical ordinances). Includes a link to submit a public records request but is less direct for creating new requests than the NextRequest portal.
100692,CITY OF BELL GARDENS,CA,1,https://cityofbellgardensca.nextrequest.com/requests/new,"Direct NextRequest submission page — the easiest and most useful for filing a public records request immediately. Lets you create a new, trackable request and often provides instructions/fields tailored to municipal records, making it ideal for requesting historical zoning ordinances."
100692,CITY OF BELL GARDENS,CA,2,https://cityofbellgardensca.nextrequest.com/,"NextRequest portal home — very useful as an alternative because it lets you search existing requests and links to the Laserfiche public portal for agendas, minutes, ordinances, and resolutions (which may already contain historical zoning ordinances). Good if you want to find records first or access archives without submitting a new request."
100692,CITY OF BELL GARDENS,CA,3,https://www.bellgardens.org/services/city-forms/public-records-request,"City's general Public Records Request page — provides the official request form and links (including Community Development/Planning), but is less direct than the NextRequest portal for submission, tracking, and searching responsive documents/archives."
173644,CITY OF REDMOND,OR,1,https://redmondoregon.justfoia.com/publicportal/home/newrequest,"Direct JustFOIA public records request portal for City of Redmond, Oregon (Administration). Best option — built for submitting general records requests (including planning/zoning and historical ordinances), straightforward to use, and targets the correct jurisdiction (Redmond, OR)."
173644,CITY OF REDMOND,OR,2,https://www.redmond.gov/777/Public-Records-Requests,"City of Redmond public records information page (appears to be Redmond, WA). Useful as a general model or for links/instructions, but likely the wrong jurisdiction for Redmond, OR records — less directly useful for obtaining Redmond, OR historical zoning ordinances."
173644,CITY OF REDMOND,OR,3,https://redmondwa.govqa.us/webapp/_rs/supporthome.aspx,"Online public records request portal for City of Redmond, Washington. Functional for submitting records requests in Redmond, WA but not applicable to Redmond, OR — therefore the least useful resource for requesting Redmond, OR historical zoning documents."
163156,TOWNSHIP OF COLLINSVILLE,IL,1,https://www.collinsvilleil.org/home/showpublisheddocument/2853/638981230455900000,"City of Collinsville FOIA (Freedom of Information Act) Request Form — a general public records request form to request municipal records from the City (submit to the FOIA Officer via mail, fax, or email)."
107711,CITY OF MAPLEWOOD,MO,1,https://cityofmaplewoodmo.rja.revize.com/forms/3654,"Direct online Public Records Request form submitted to the City Clerk/Custodian of Records. Explicitly intended for obtaining city documents (ordinances, meeting minutes, resolutions), includes fields to describe records sought, and lists email/in‑person submission options and fee info — the most straightforward method to request historical zoning ordinances and archives."
107711,CITY OF MAPLEWOOD,MO,2,https://www.maplewoodmo.gov/services/public_records_request.php,"Official City of Maplewood public records information page that explains the open records process, contact details, policies, and (typically) links or directions to the actual request form. Useful for background, procedures, and departmental contacts but less direct than the online submission form itself."
176188,CITY OF DRIPPING SPRINGS,TX,1,https://drippingspringstx.govqa.us/WEBAPP/_rs/,"Official GovQA public information request portal used by the City Secretary for Texas Public Information Act / open records requests. Direct, city-hosted system likely to be the primary method to request city records (including planning/zoning files and historical ordinances), making it the most straightforward/effective option."
176188,CITY OF DRIPPING SPRINGS,TX,2,https://drippingspringstx.justfoia.com/publicportal/home/newrequest,"JustFOIA portal configured for the City of Dripping Springs. A good alternative that supports submitting requests, tracking status, and searching request archives — useful for finding prior requests or related historical records, but secondary to the city's primary GovQA portal."
105413,CITY OF ERLANGER,KY,1,https://erlangerky.justfoia.com/publicportal/home/newrequest,"Official City of Erlanger public portal (Kentucky AG/JustFOIA) for submitting a new records request. Direct, easy-to-use entry point intended for general public records — ideal for requesting historical zoning ordinances and archives."
105413,CITY OF ERLANGER,KY,2,https://erlangerky.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,Specific City of Erlanger Public Records Request form hosted on the JustFOIA portal. A good alternative (explicitly for non-police/fire municipal records such as planning/zoning); slightly less general than the portal landing page but equally valid for historical zoning requests.
103790,CITY OF NAPPANEE,IN,1,https://www.nappanee.in.gov/Home/Components/FormBuilder/FormBuilder/bf0c33c28839492998739ff360a42acd/,"Direct online public records request form (FormBuilder) with fields for requester name, contact info, date, description of records requested, reason, and captcha. Best option for easily and directly submitting a request for historical zoning ordinances and archives."
103790,CITY OF NAPPANEE,IN,2,https://www.nappanee.in.gov/government/clerk-treasurer/public-access-laws,Clerk-Treasurer 'Public Access Laws' page that provides legal guidance and contact information for records requests. Useful for understanding process and rights but less direct than the FormBuilder page for actually submitting a request.
207910,TOWNSHIP OF BLOOMINGTON CITY,IL,1,https://bloomingtonil.justfoia.com/publicportal/home/newrequest,City of Bloomington public records/FOIA portal (JustFOIA) for submitting new records requests and tracking responses — a general municipal records request form usable to request planning/zoning documents.
184018,BOROUGH OF BOGOTA,NJ,1,https://www.bogotaonline.org/_files/ugd/8d609e_4e4e791cc680468fa874f5281782dc96.pdf,"Official Borough of Bogota OPRA PDF form — direct, official public records request form intended for municipal records. Best choice for requesting historical zoning ordinances/archives because it is the municipality's own form, clearly framed for OPRA requests, and can be submitted by the recognized custodian of records."
184018,BOROUGH OF BOGOTA,NJ,2,https://opramachine.com/new/bogota_borough,"Third‑party online OPRAMachine portal — convenient web-based submission and tracking for OPRA requests. Useful as an alternative (easy to use, timestamps requests), but less direct than the official borough form since it routes through a third party and may require follow-up with the municipal records custodian."
161610,TOWN OF SURFSIDE,FL,1,https://surfsidefl.justfoia.com/publicportal/home/newrequest,"Dedicated JustFOIA public records portal for the Town of Surfside. Purpose-built for submitting, tracking, and managing public records requests (selectable recipients such as the Town Clerk). Best choice for requesting historical zoning ordinances and archives because it is direct, structured, and likely to support attachments/status updates."
161610,TOWN OF SURFSIDE,FL,2,https://www.townofsurfsidefl.gov/Sitefinity/adminapp/pages/contact-us/Action/Edit/e66125bd-11e3-62ee-ac30-ff000090a7c7,"General Public Records Request form linked from Contact Us, but this URL appears to point to a Sitefinity admin/edit page (may be inaccessible or not a user-facing form). If a functioning public request form is available via the town Contact Us page it can be used as an alternative, but it is less direct and may be harder to use/track than the dedicated FOIA portal."
211209,CITY OF LOS ALAMITOS,CA,1,https://cityoflosalamitos.org/FormCenter/City-Clerk-5/Public-Records-Request-Form-47,"City Clerk's online Public Records Request page — best option because it provides an online submission method, links to a printable PDF, and a Laserfiche public records portal. Easier to submit, track, and includes direct access to ordinance/agenda/resolution categories useful for historical zoning records."
211209,CITY OF LOS ALAMITOS,CA,2,https://cityoflosalamitos.org/DocumentCenter/View/918/Printable-Public-Records-Request-Form,Printable general Public Records Request form (PDF). Fully usable for requesting planning/zoning records and historical ordinances but less convenient than the online/Laserfiche portal since it requires printing/emailing/mailing or scanning for submission.
135107,CITY OF HARLINGEN,TX,1,https://harlingenpdtx.govqa.us/WEBAPP/_rs/(S(a2rbdolubq2gtovu0jtwzjzq))/supporthome.aspx,"City of Harlingen's online Public Records Request portal — direct, city-specific submission under the Texas Public Information Act, likely the easiest way to request historical zoning ordinances and archived zoning records and to track the request."
135107,CITY OF HARLINGEN,TX,2,https://www.texasattorneygeneral.gov/sites/default/files/files/divisions/open-government/Public-Information-Request-Form-10-01-19.pdf,"Texas Attorney General public information request form — an official, general-form template usable for requests to any Texas public body. Good alternative if you prefer a standard AG form or if the city portal is unavailable, but less direct/convenient than the city's online portal."
124960,VILLAGE OF WEST DUNDEE,IL,1,https://forms.office.com/g/2bbF68PtkJ,"Digital FOIA/public records submission form covering all departments except Police. Easiest to use (online), likely fastest processing and best for submitting and tracking a request for historical zoning ordinances and archives."
